point_number,latitude,longitude,cumulative_distance_km
1,45.20447,-0.74729,0.0
2,45.20459,-0.74735,0.01414489388248268
3,45.20469,-0.74743,0.026912666348393885
4,45.2048,-0.74756,0.0428426691174289
5,45.20491,-0.74774,0.06153594605665237
6,45.20497,-0.7479,0.07576549783846023
7,45.20502,-0.74808,0.09095978854671667
8,45.20505,-0.7483,0.10856274217768291
9,45.20495,-0.75116,0.3335337930852007
10,45.20489,-0.75168,0.37492834505043815
11,45.20466,-0.753,0.48173845650734776
12,45.2046,-0.75318,0.4973735228908058
13,45.20442,-0.75309,0.5185908644719007
14,45.20433,-0.75298,0.531809529430503
15,45.20372,-0.75268,0.6035828435992576
16,45.20364,-0.75265,0.6127808268875107
17,45.20173,-0.75174,0.8367676317125579
18,45.20152,-0.75162,0.8619386451565845
19,45.20146,-0.75163,0.8686529175839093
20,45.20078,-0.75122,0.9508046404963546
21,45.20074,-0.75119,0.9558363293426689
22,45.20057,-0.75109,0.97629805704031
23,45.20053,-0.75105,0.981742259976935
24,45.20041,-0.75084,1.002957968123539
25,45.20029,-0.75056,1.0286845721932565
26,45.20009,-0.74996,1.08080476929893
27,45.19996,-0.74946,1.122663157343147
28,45.19994,-0.74942,1.1265125963296752
29,45.19993,-0.74937,1.130595373130867
30,45.19988,-0.74935,1.136370084005232
31,45.19983,-0.74929,1.1436572510706662
32,45.19944,-0.74897,1.193765030811457
33,45.1994,-0.74895,1.1984800385542052
34,45.19901,-0.74881,1.2431970739491842
35,45.19883,-0.74877,1.263446885975011
36,45.19878,-0.74877,1.2690036691044044
37,45.19873,-0.74879,1.274778387509288
38,45.1986,-0.74915,1.3065410364689538
39,45.19822,-0.75074,1.438418887374603
40,45.19816,-0.75091,1.4533484377644195
41,45.19752,-0.75238,1.5889968567965487
42,45.19749,-0.75243,1.5941496505195034
43,45.19746,-0.75251,1.6012651505008637
44,45.19731,-0.75274,1.6258519765988437
45,45.19721,-0.75286,1.640426584133166
46,45.19654,-0.75348,1.7294086041384964
47,45.19627,-0.75376,1.7666170120732616
48,45.19623,-0.75377,1.771131348883926
49,45.1962,-0.75376,1.7745567613224043
50,45.19616,-0.75376,1.7790021857740712
51,45.19613,-0.75381,1.7841550503370265
52,45.19612,-0.75382,1.7855161355225297
53,45.1961,-0.75386,1.7893657462421926
54,45.19609,-0.75387,1.7907268316624796
55,45.19606,-0.75394,1.797158833583632
56,45.19605,-0.75411,1.8105631557999224
57,45.19604,-0.75416,1.814646189975552
58,45.19594,-0.75445,1.8399993189307178
59,45.19588,-0.75456,1.8509160448838458
60,45.19587,-0.75462,1.855759923999171
61,45.19554,-0.75528,1.9192787997155993
62,45.19549,-0.75526,1.9250535393444954
63,45.19543,-0.75526,1.931721675176625
64,45.19539,-0.75525,1.9362360133520822
65,45.19526,-0.75524,1.950704993698838
66,45.19525,-0.75531,1.956316643943821
67,45.19503,-0.75527,1.980967679954794
68,45.19452,-0.75524,2.0376958300831696
69,45.19412,-0.75525,2.0821570046298334
70,45.19405,-0.75526,2.089976080539948
71,45.19373,-0.75539,2.126977562973602
72,45.19334,-0.75561,2.1736409591363017
73,45.19332,-0.75564,2.1768810136483894
74,45.19318,-0.75573,2.193971932286519
75,45.193,-0.75579,2.2145244554138555
76,45.19266,-0.75587,2.252829925207739
77,45.19251,-0.75588,2.2695187675233184
78,45.19203,-0.75584,2.322956352239304
79,45.19203,-0.75577,2.328457163479045
80,45.19191,-0.75523,2.372938333291547
81,45.19189,-0.75504,2.3880336786170497
82,45.19189,-0.75498,2.3927486712393478
83,45.19184,-0.75498,2.3983054475867354
84,45.19155,-0.75503,2.4307733749274236
85,45.19144,-0.75503,2.4429982820967755
86,45.19127,-0.75501,2.461956579891945
87,45.19125,-0.75502,2.464314118187216
88,45.19123,-0.75504,2.467036364625948
89,45.19121,-0.75507,2.4702764819537593
90,45.19117,-0.75527,2.4866099034552023
91,45.19115,-0.75532,2.49112422931955
92,45.19112,-0.75546,2.5026201191591664
93,45.19109,-0.75575,2.525652156904294
94,45.19109,-0.75582,2.5311530586940134
95,45.19102,-0.75582,2.5389325444723942
96,45.19072,-0.75574,2.5728607415765987
97,45.19067,-0.75572,2.5786355127793343
98,45.19057,-0.7557,2.5898596491678814
99,45.19058,-0.75564,2.5947039539983168
100,45.19027,-0.75554,2.6300408610665618
101,45.19018,-0.75549,2.640787167330573
102,45.19005,-0.75537,2.658040100469185
103,45.18981,-0.75522,2.68720133232961
104,45.18941,-0.75501,2.7346199857257356
105,45.18937,-0.75498,2.7396518866452193
106,45.18933,-0.75494,2.7450964383786163
107,45.18925,-0.75488,2.755160243945992
108,45.18914,-0.75464,2.7776364601648345
109,45.18913,-0.75458,2.7824808806550925
110,45.18907,-0.7544,2.798119419145341
111,45.18896,-0.75342,2.876099055336415
112,45.18895,-0.75278,2.926407171808117
113,45.18896,-0.75253,2.9460853918346745
114,45.18895,-0.75246,2.951697636700199
115,45.18899,-0.752,2.9881200652004054
116,45.18899,-0.75181,3.003051633408912
117,45.18897,-0.75157,3.0220430835026177
118,45.18873,-0.75056,3.105778013710477
119,45.18872,-0.75048,3.1121624905347463
120,45.18858,-0.75059,3.1299616830419477
